"CMS Certification Number (CCN)","State","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"015009","AL","2.4","2.7","03/02/2025"
"015010","AL","38.0","1.1","03/02/2025"
"015012","AL","36.2","0.0","03/02/2025"
"015014","AL","Not Available","Not Available","03/02/2025"
"015015","AL","53.1","0.0","03/02/2025"
"015016","AL","34.1","8.2","03/02/2025"
"015019","AL","Not Available","Not Available","03/02/2025"
"015023","AL","51.6","0.0","03/02/2025"
"015024","AL","22.9","0.0","03/02/2025"
"015027","AL","0.8","0.0","03/02/2025"
"015028","AL","8.5","0.9","03/02/2025"
"015031","AL","28.3","0.2","03/02/2025"
"015032","AL","44.4","1.5","03/02/2025"
"015034","AL","3.9","2.2","03/02/2025"
"015035","AL","38.7","0.0","03/02/2025"
"015040","AL","56.3","0.0","03/02/2025"
"015042","AL","0.0","7.8","03/02/2025"
"015044","AL","0.0","0.0","03/02/2025"
"015045","AL","85.9","2.8","03/02/2025"
"015047","AL","0.0","0.0","03/02/2025"
"015048","AL","56.8","2.1","03/02/2025"
"015049","AL","0.0","0.0","03/02/2025"
"015050","AL","0.0","0.0","03/02/2025"
"015053","AL","37.5","2.4","03/02/2025"
"015060","AL","0.0","82.9","03/02/2025"
"015063","AL","Not Available","Not Available","03/02/2025"
"015065","AL","0.0","1.4","03/02/2025"
"015066","AL","0.0","0.0","03/02/2025"
"015067","AL","35.2","0.0","03/02/2025"
"015071","AL","34.8","0.0","03/02/2025"
"015073","AL","71.0","11.7","03/02/2025"
"015075","AL","17.4","0.5","03/02/2025"
"015076","AL","15.9","0.2","03/02/2025"
"015083","AL","17.0","0.0","03/02/2025"
"015084","AL","Not Available","Not Available","03/02/2025"
"015089","AL","58.3","11.3","03/02/2025"
"015091","AL","50.6","0.0","03/02/2025"
"015097","AL","0.0","0.0","03/02/2025"
"015098","AL","Not Available","Not Available","03/02/2025"
"015100","AL","54.3","1.5","03/02/2025"
"015101","AL","39.1","2.5","03/02/2025"
"015103","AL","42.3","0.0","03/02/2025"
"015104","AL","46.8","1.2","03/02/2025"
"015109","AL","1.1","0.0","03/02/2025"
"015111","AL","56.5","1.6","03/02/2025"
"015112","AL","Not Available","Not Available","03/02/2025"
"015113","AL","59.3","1.0","03/02/2025"
"015114","AL","69.9","5.9","03/02/2025"
"015115","AL","32.7","12.6","03/02/2025"
"015116","AL","23.4","27.3","03/02/2025"
"015117","AL","0.0","0.0","03/02/2025"
"015119","AL","47.3","0.0","03/02/2025"
"015120","AL","Not Available","Not Available","03/02/2025"
"015121","AL","59.1","6.3","03/02/2025"
"015123","AL","0.0","0.0","03/02/2025"
"015124","AL","59.7","0.0","03/02/2025"
"015126","AL","7.6","0.6","03/02/2025"
"015127","AL","45.8","8.0","03/02/2025"
"015128","AL","39.8","1.3","03/02/2025"
"015129","AL","27.0","0.9","03/02/2025"
"015132","AL","0.0","100.0","03/02/2025"
"015133","AL","38.8","5.5","03/02/2025"
"015134","AL","34.2","3.1","03/02/2025"
"015135","AL","66.7","Not Available","03/02/2025"
"015136","AL","11.2","1.0","03/02/2025"
"015137","AL","50.5","9.3","03/02/2025"
"015138","AL","3.0","0.0","03/02/2025"
"015139","AL","0.0","0.0","03/02/2025"
"015141","AL","51.8","13.5","03/02/2025"
"015142","AL","1.1","3.3","03/02/2025"
"015143","AL","36.3","3.3","03/02/2025"
"015144","AL","50.0","0.0","03/02/2025"
"015145","AL","15.7","21.5","03/02/2025"
"015147","AL","Not Available","Not Available","03/02/2025"
"015148","AL","28.3","0.0","03/02/2025"
"015149","AL","Not Available","Not Available","03/02/2025"
"015150","AL","46.9","0.0","03/02/2025"
"015151","AL","25.6","2.5","03/02/2025"
"015152","AL","61.4","0.7","03/02/2025"
"015153","AL","35.5","0.0","03/02/2025"
"015154","AL","52.7","0.5","03/02/2025"
"015155","AL","45.3","0.0","03/02/2025"
"015156","AL","37.1","6.5","03/02/2025"
"015157","AL","38.1","4.1","03/02/2025"
"015158","AL","Not Available","Not Available","03/02/2025"
"015159","AL","7.5","0.0","03/02/2025"
"015160","AL","46.0","0.0","03/02/2025"
"015162","AL","8.1","0.0","03/02/2025"
"015163","AL","40.5","0.0","03/02/2025"
"015164","AL","39.7","2.5","03/02/2025"
"015166","AL","52.9","5.8","03/02/2025"
"015167","AL","0.0","9.1","03/02/2025"
"015168","AL","71.4","0.0","03/02/2025"
"015169","AL","46.2","0.0","03/02/2025"
"015171","AL","79.4","0.0","03/02/2025"
"015174","AL","0.0","6.7","03/02/2025"
"015175","AL","52.1","0.0","03/02/2025"
"015176","AL","37.3","0.0","03/02/2025"
"015177","AL","34.3","2.0","03/02/2025"
"015178","AL","Not Available","Not Available","03/02/2025"
"015179","AL","51.4","2.2","03/02/2025"
"015180","AL","30.8","0.9","03/02/2025"
"015182","AL","0.0","14.1","03/02/2025"
"015183","AL","29.5","0.0","03/02/2025"
"015184","AL","60.5","0.0","03/02/2025"
"015186","AL","34.5","0.0","03/02/2025"
"015187","AL","63.1","0.0","03/02/2025"
"015188","AL","59.3","0.4","03/02/2025"
"015189","AL","Not Available","Not Available","03/02/2025"
"015191","AL","65.6","10.8","03/02/2025"
"015192","AL","59.1","27.9","03/02/2025"
"015193","AL","61.3","5.9","03/02/2025"
"015194","AL","13.5","4.3","03/02/2025"
"015195","AL","3.1","0.4","03/02/2025"
"015196","AL","32.6","0.0","03/02/2025"
"015197","AL","33.9","0.0","03/02/2025"
"015199","AL","63.5","3.8","03/02/2025"
"015200","AL","3.0","0.0","03/02/2025"
"015201","AL","57.1","9.8","03/02/2025"
"015202","AL","57.3","7.6","03/02/2025"
"015203","AL","9.6","5.6","03/02/2025"
"015204","AL","76.7","29.5","03/02/2025"
"015206","AL","22.9","2.3","03/02/2025"
"015207","AL","36.3","3.8","03/02/2025"
"015208","AL","3.5","0.0","03/02/2025"
"015209","AL","21.6","0.0","03/02/2025"
"015210","AL","23.3","7.4","03/02/2025"
"015211","AL","67.2","4.1","03/02/2025"
"015212","AL","51.0","0.7","03/02/2025"
"015213","AL","36.8","0.0","03/02/2025"
"015214","AL","47.2","Not Available","03/02/2025"
"015215","AL","58.8","2.6","03/02/2025"
"015216","AL","51.8","0.0","03/02/2025"
"015217","AL","8.2","6.7","03/02/2025"
"015220","AL","48.1","10.7","03/02/2025"
"015221","AL","51.7","0.5","03/02/2025"
"015222","AL","33.8","0.0","03/02/2025"
"015223","AL","51.5","0.0","03/02/2025"
"015225","AL","49.6","2.3","03/02/2025"
"015227","AL","43.4","2.1","03/02/2025"
"015228","AL","0.0","0.0","03/02/2025"
"015303","AL","0.0","0.0","03/02/2025"
"015315","AL","28.8","0.0","03/02/2025"
"015320","AL","35.9","1.1","03/02/2025"
"015321","AL","0.0","0.0","03/02/2025"
"015322","AL","16.7","0.6","03/02/2025"
"015326","AL","4.0","0.7","03/02/2025"
"015330","AL","Not Available","Not Available","03/02/2025"
"015331","AL","0.0","0.0","03/02/2025"
"015336","AL","20.7","0.0","03/02/2025"
"015361","AL","45.1","0.0","03/02/2025"
"015369","AL","Not Available","Not Available","03/02/2025"
"015371","AL","9.6","0.0","03/02/2025"
"015372","AL","19.2","0.7","03/02/2025"
"015373","AL","13.8","0.0","03/02/2025"
"015374","AL","21.1","0.0","03/02/2025"
"015375","AL","Not Available","Not Available","03/02/2025"
"015376","AL","38.1","0.0","03/02/2025"
"015378","AL","42.1","0.0","03/02/2025"
"015379","AL","14.1","12.6","03/02/2025"
"015381","AL","46.5","3.0","03/02/2025"
"015382","AL","30.1","16.4","03/02/2025"
"015383","AL","28.8","3.6","03/02/2025"
"015386","AL","57.1","2.8","03/02/2025"
"015388","AL","59.6","0.0","03/02/2025"
"015390","AL","21.1","0.0","03/02/2025"
"015391","AL","46.8","2.6","03/02/2025"
"015392","AL","64.9","28.8","03/02/2025"
"015393","AL","50.0","6.4","03/02/2025"
"015396","AL","48.8","0.0","03/02/2025"
"015397","AL","39.2","7.1","03/02/2025"
"015398","AL","53.3","0.8","03/02/2025"
"015400","AL","38.0","2.0","03/02/2025"
"015402","AL","48.3","0.0","03/02/2025"
"015403","AL","24.4","0.0","03/02/2025"
"015404","AL","35.3","0.0","03/02/2025"
"015406","AL","7.6","4.7","03/02/2025"
"015407","AL","18.9","0.0","03/02/2025"
"015408","AL","15.9","3.8","03/02/2025"
"015411","AL","34.9","1.0","03/02/2025"
"015413","AL","32.8","0.0","03/02/2025"
"015414","AL","78.4","4.0","03/02/2025"
"015416","AL","22.0","0.8","03/02/2025"
"015417","AL","44.3","3.4","03/02/2025"
"015419","AL","41.8","2.8","03/02/2025"
"015420","AL","32.5","0.8","03/02/2025"
"015422","AL","38.2","0.0","03/02/2025"
"015423","AL","33.8","Not Available","03/02/2025"
"015424","AL","0.0","0.0","03/02/2025"
"015425","AL","21.1","0.0","03/02/2025"
"015426","AL","25.0","2.4","03/02/2025"
"015429","AL","Not Available","Not Available","03/02/2025"
"015431","AL","0.0","7.8","03/02/2025"
"015433","AL","Not Available","Not Available","03/02/2025"
"015434","AL","70.4","0.0","03/02/2025"
"015435","AL","49.4","Not Available","03/02/2025"
"015436","AL","22.1","0.0","03/02/2025"
"015437","AL","17.2","0.5","03/02/2025"
"015440","AL","0.0","3.1","03/02/2025"
"015442","AL","45.1","8.2","03/02/2025"
"015443","AL","6.3","0.5","03/02/2025"
"015445","AL","48.6","0.0","03/02/2025"
"015446","AL","85.9","0.0","03/02/2025"
"015447","AL","27.5","9.8","03/02/2025"
"015448","AL","49.4","1.8","03/02/2025"
"015450","AL","34.0","0.0","03/02/2025"
"015451","AL","47.9","3.3","03/02/2025"
"015452","AL","63.3","17.5","03/02/2025"
"015453","AL","50.0","0.0","03/02/2025"
"015454","AL","57.1","4.0","03/02/2025"
"015455","AL","51.9","1.5","03/02/2025"
"015456","AL","45.4","0.0","03/02/2025"
"015457","AL","57.7","0.0","03/02/2025"
"015458","AL","Not Available","Not Available","03/02/2025"
"015459","AL","24.0","0.0","03/02/2025"
"015460","AL","Not Available","Not Available","03/02/2025"
"015461","AL","0.7","0.0","03/02/2025"
"015463","AL","Not Available","Not Available","03/02/2025"
"015464","AL","0.0","0.9","03/02/2025"
"015465","AL","6.6","0.0","03/02/2025"
"015467","AL","52.9","38.5","03/02/2025"
"015468","AL","0.8","0.8","03/02/2025"
"01A193","AL","0.0","0.0","03/02/2025"
"01A208","AL","61.7","18.3","03/02/2025"
"025010","AK","45.0","34.8","03/02/2025"
"025015","AK","66.7","15.2","03/02/2025"
"025018","AK","39.6","Not Available","03/02/2025"
"025019","AK","71.4","2.0","03/02/2025"
"025020","AK","71.6","85.9","03/02/2025"
"025021","AK","61.4","5.1","03/02/2025"
"025024","AK","70.0","0.0","03/02/2025"
"025025","AK","43.8","1.3","03/02/2025"
"025026","AK","94.4","15.6","03/02/2025"
"025027","AK","73.1","27.5","03/02/2025"
"025028","AK","66.7","0.0","03/02/2025"
"025030","AK","66.7","26.8","03/02/2025"
"025031","AK","77.8","16.1","03/02/2025"
"025032","AK","56.3","15.0","03/02/2025"
"025034","AK","75.0","5.3","03/02/2025"
"025035","AK","100.0","97.8","03/02/2025"
"025036","AK","80.2","Not Available","03/02/2025"
"025037","AK","Not Available","Not Available","03/02/2025"
"025038","AK","21.2","1.2","03/02/2025"
"025039","AK","40.0","0.0","03/02/2025"
"035003","AZ","43.1","10.9","03/02/2025"
"035004","AZ","58.8","6.5","03/02/2025"
"035014","AZ","2.0","0.0","03/02/2025"
"035016","AZ","10.6","1.2","03/02/2025"
"035059","AZ","8.9","0.0","03/02/2025"
"035062","AZ","63.0","2.2","03/02/2025"
"035064","AZ","68.6","2.3","03/02/2025"
"035068","AZ","32.3","0.0","03/02/2025"
"035070","AZ","24.7","1.0","03/02/2025"
"035071","AZ","13.6","0.0","03/02/2025"
"035072","AZ","30.5","0.0","03/02/2025"
"035073","AZ","41.6","7.9","03/02/2025"
"035074","AZ","49.0","10.3","03/02/2025"
"035076","AZ","19.0","0.0","03/02/2025"
"035083","AZ","5.1","0.0","03/02/2025"
"035084","AZ","47.5","5.7","03/02/2025"
"035085","AZ","28.9","5.6","03/02/2025"
"035086","AZ","Not Available","Not Available","03/02/2025"
"035087","AZ","29.5","7.0","03/02/2025"
"035088","AZ","2.6","0.0","03/02/2025"
"035091","AZ","66.3","7.6","03/02/2025"
"035092","AZ","19.1","0.0","03/02/2025"
"035093","AZ","10.8","0.0","03/02/2025"
"035094","AZ","19.8","0.0","03/02/2025"
"035095","AZ","11.6","0.9","03/02/2025"
"035096","AZ","49.5","1.7","03/02/2025"
"035097","AZ","20.3","0.0","03/02/2025"
"035099","AZ","44.2","3.7","03/02/2025"
"035100","AZ","4.2","0.0","03/02/2025"
"035101","AZ","1.0","7.7","03/02/2025"
"035103","AZ","7.0","0.0","03/02/2025"
"035105","AZ","20.8","0.6","03/02/2025"
"035106","AZ","26.3","0.7","03/02/2025"
"035107","AZ","Not Available","Not Available","03/02/2025"
"035110","AZ","47.4","0.0","03/02/2025"
"035111","AZ","15.3","0.0","03/02/2025"
"035112","AZ","36.4","4.9","03/02/2025"
"035114","AZ","0.0","0.0","03/02/2025"
"035116","AZ","23.2","2.9","03/02/2025"
"035117","AZ","21.4","8.6","03/02/2025"
"035118","AZ","8.5","1.0","03/02/2025"
"035120","AZ","36.1","2.2","03/02/2025"
"035121","AZ","15.7","2.3","03/02/2025"
"035125","AZ","0.0","0.0","03/02/2025"
"035126","AZ","25.0","0.0","03/02/2025"
"035127","AZ","Not Available","Not Available","03/02/2025"
"035130","AZ","32.2","0.4","03/02/2025"
"035131","AZ","11.2","3.1","03/02/2025"
"035132","AZ","27.3","6.5","03/02/2025"
"035133","AZ","18.4","10.9","03/02/2025"
"035134","AZ","45.3","22.6","03/02/2025"
"035135","AZ","4.5","11.1","03/02/2025"
"035136","AZ","0.0","0.0","03/02/2025"
"035139","AZ","22.2","0.0","03/02/2025"
"035140","AZ","31.5","3.1","03/02/2025"
"035141","AZ","33.3","0.0","03/02/2025"
"035143","AZ","14.8","66.4","03/02/2025"
"035144","AZ","22.4","14.9","03/02/2025"
"035145","AZ","88.2","30.3","03/02/2025"
"035146","AZ","35.6","2.8","03/02/2025"
"035147","AZ","25.4","0.0","03/02/2025"
"035151","AZ","20.0","85.8","03/02/2025"
"035152","AZ","0.0","0.0","03/02/2025"
"035154","AZ","44.6","9.8","03/02/2025"
"035158","AZ","5.3","5.4","03/02/2025"
"035159","AZ","39.6","0.0","03/02/2025"
"035164","AZ","4.0","0.0","03/02/2025"
"035165","AZ","11.9","7.1","03/02/2025"
"035166","AZ","27.9","6.8","03/02/2025"
"035169","AZ","37.5","1.9","03/02/2025"
"035171","AZ","18.6","2.6","03/02/2025"
"035172","AZ","25.6","1.1","03/02/2025"
"035173","AZ","25.0","0.0","03/02/2025"
"035174","AZ","22.4","0.0","03/02/2025"
"035175","AZ","Not Available","8.5","03/02/2025"
"035176","AZ","38.8","2.1","03/02/2025"
"035180","AZ","50.0","15.7","03/02/2025"
"035183","AZ","21.3","13.8","03/02/2025"
"035189","AZ","19.6","13.1","03/02/2025"
"035190","AZ","11.9","0.0","03/02/2025"
"035193","AZ","Not Available","Not Available","03/02/2025"
"035196","AZ","14.1","0.0","03/02/2025"
"035197","AZ","33.0","0.0","03/02/2025"
"035205","AZ","80.7","6.2","03/02/2025"
"035207","AZ","Not Available","Not Available","03/02/2025"
"035214","AZ","32.0","0.0","03/02/2025"
"035216","AZ","59.3","6.2","03/02/2025"
"035217","AZ","25.7","1.2","03/02/2025"
"035225","AZ","32.7","0.0","03/02/2025"
"035231","AZ","51.6","1.6","03/02/2025"
"035232","AZ","27.2","3.3","03/02/2025"
"035233","AZ","20.4","0.0","03/02/2025"
"035234","AZ","47.2","0.4","03/02/2025"
"035240","AZ","9.8","0.0","03/02/2025"
"035241","AZ","0.0","0.0","03/02/2025"
"035242","AZ","83.0","23.4","03/02/2025"
"035244","AZ","Not Available","Not Available","03/02/2025"
"035245","AZ","18.3","0.0","03/02/2025"
"035247","AZ","31.0","0.8","03/02/2025"
"035249","AZ","23.1","0.0","03/02/2025"
"035250","AZ","62.5","2.0","03/02/2025"
"035251","AZ","15.2","0.0","03/02/2025"
"035253","AZ","52.6","2.1","03/02/2025"
"035254","AZ","60.0","13.0","03/02/2025"
"035255","AZ","47.3","1.8","03/02/2025"
"035256","AZ","38.8","7.4","03/02/2025"
"035257","AZ","12.9","0.0","03/02/2025"
"035260","AZ","17.7","0.0","03/02/2025"
"035262","AZ","40.2","1.2","03/02/2025"
"035263","AZ","88.6","71.9","03/02/2025"
"035264","AZ","36.0","3.2","03/02/2025"
"035265","AZ","56.6","1.5","03/02/2025"
"035266","AZ","27.0","7.7","03/02/2025"
"035268","AZ","0.0","0.0","03/02/2025"
"035270","AZ","100.0","0.0","03/02/2025"
"035272","AZ","45.5","0.0","03/02/2025"
"035273","AZ","76.9","12.2","03/02/2025"
"035275","AZ","19.4","1.8","03/02/2025"
"035276","AZ","36.8","27.1","03/02/2025"
"035277","AZ","9.6","0.0","03/02/2025"
"035279","AZ","35.5","5.1","03/02/2025"
"035280","AZ","23.9","9.3","03/02/2025"
"035281","AZ","40.0","0.0","03/02/2025"
"035282","AZ","10.7","2.6","03/02/2025"
"035283","AZ","21.1","0.0","03/02/2025"
"035284","AZ","79.3","10.0","03/02/2025"
"035285","AZ","0.0","0.0","03/02/2025"
"035286","AZ","4.3","8.0","03/02/2025"
"035289","AZ","16.2","0.0","03/02/2025"
"035290","AZ","29.3","0.0","03/02/2025"
"035291","AZ","18.0","6.1","03/02/2025"
"035292","AZ","6.7","0.0","03/02/2025"
"035295","AZ","25.5","5.6","03/02/2025"
"035296","AZ","1.5","0.0","03/02/2025"
"035297","AZ","19.0","0.0","03/02/2025"
"035298","AZ","11.1","0.0","03/02/2025"
"035299","AZ","0.0","8.6","03/02/2025"
"035300","AZ","37.5","22.9","03/02/2025"
"035301","AZ","29.6","0.0","03/02/2025"
"035302","AZ","22.7","7.6","03/02/2025"
"035303","AZ","Not Available","Not Available","03/02/2025"
"045070","AR","61.8","0.0","03/02/2025"
"045098","AR","51.3","0.0","03/02/2025"
"045125","AR","Not Available","Not Available","03/02/2025"
"045134","AR","17.4","0.0","03/02/2025"
"045135","AR","47.6","0.0","03/02/2025"
"045138","AR","65.9","0.0","03/02/2025"
"045140","AR","29.3","0.0","03/02/2025"
"045142","AR","39.5","0.0","03/02/2025"
"045143","AR","Not Available","Not Available","03/02/2025"
"045146","AR","97.3","0.0","03/02/2025"
"045147","AR","51.4","0.0","03/02/2025"
"045148","AR","1.3","1.3","03/02/2025"
"045151","AR","1.0","0.0","03/02/2025"
"045153","AR","70.0","17.2","03/02/2025"
"045155","AR","32.8","0.0","03/02/2025"
"045157","AR","69.2","0.0","03/02/2025"
"045158","AR","0.0","0.0","03/02/2025"
"045166","AR","2.8","0.0","03/02/2025"
"045167","AR","0.0","0.0","03/02/2025"
"045168","AR","29.5","1.2","03/02/2025"
"045170","AR","46.6","0.0","03/02/2025"
"045172","AR","Not Available","Not Available","03/02/2025"
"045173","AR","55.2","0.5","03/02/2025"
"045176","AR","0.0","0.0","03/02/2025"
"045177","AR","0.0","0.0","03/02/2025"
"045178","AR","0.0","3.2","03/02/2025"
"045180","AR","46.3","0.0","03/02/2025"
"045182","AR","48.6","0.0","03/02/2025"
"045183","AR","0.0","0.0","03/02/2025"
"045184","AR","0.0","0.0","03/02/2025"
"045187","AR","5.9","0.0","03/02/2025"
"045189","AR","69.7","0.0","03/02/2025"
"045190","AR","0.0","4.2","03/02/2025"
"045191","AR","7.7","0.0","03/02/2025"
"045192","AR","0.0","1.1","03/02/2025"
"045194","AR","1.9","0.0","03/02/2025"
"045195","AR","2.4","0.9","03/02/2025"
"045196","AR","24.2","0.5","03/02/2025"
"045197","AR","5.6","0.0","03/02/2025"
"045199","AR","4.1","0.0","03/02/2025"
"045201","AR","54.3","0.0","03/02/2025"
"045202","AR","29.4","0.0","03/02/2025"
"045203","AR","43.6","0.0","03/02/2025"
"045207","AR","69.5","0.0","03/02/2025"
"045208","AR","24.4","3.6","03/02/2025"
"045209","AR","50.8","0.5","03/02/2025"
"045211","AR","62.2","0.0","03/02/2025"
"045212","AR","0.0","0.0","03/02/2025"
"045214","AR","8.3","0.0","03/02/2025"
"045216","AR","27.9","0.0","03/02/2025"
"045217","AR","1.4","0.0","03/02/2025"
"045218","AR","0.0","6.1","03/02/2025"
"045219","AR","81.8","8.1","03/02/2025"
"045220","AR","1.6","0.0","03/02/2025"
"045221","AR","42.9","0.0","03/02/2025"
"045222","AR","0.0","0.0","03/02/2025"
"045227","AR","27.0","1.4","03/02/2025"
"045228","AR","60.7","0.0","03/02/2025"
"045232","AR","57.1","1.6","03/02/2025"
"045236","AR","0.0","0.0","03/02/2025"
"045239","AR","26.2","0.0","03/02/2025"
"045241","AR","53.2","0.9","03/02/2025"
"045242","AR","85.9","0.0","03/02/2025"
"045243","AR","2.7","0.0","03/02/2025"
"045244","AR","51.4","5.6","03/02/2025"
"045245","AR","0.0","0.0","03/02/2025"
"045246","AR","0.0","Not Available","03/02/2025"
"045247","AR","55.6","0.0","03/02/2025"
"045248","AR","61.9","0.0","03/02/2025"
"045250","AR","Not Available","Not Available","03/02/2025"
"045254","AR","49.0","4.2","03/02/2025"
"045256","AR","0.0","0.0","03/02/2025"
"045259","AR","85.7","100.0","03/02/2025"
"045266","AR","43.7","0.0","03/02/2025"
"045267","AR","53.5","0.0","03/02/2025"
"045268","AR","63.5","0.0","03/02/2025"
"045269","AR","35.9","2.1","03/02/2025"
"045270","AR","41.4","0.0","03/02/2025"
"045271","AR","50.6","1.1","03/02/2025"
"045275","AR","24.7","2.6","03/02/2025"
"045277","AR","28.2","0.0","03/02/2025"
"045280","AR","68.1","1.2","03/02/2025"
"045284","AR","29.0","0.0","03/02/2025"
"045287","AR","52.1","1.3","03/02/2025"
"045288","AR","13.7","0.0","03/02/2025"
"045289","AR","71.8","1.1","03/02/2025"
"045290","AR","43.0","1.4","03/02/2025"
"045295","AR","22.4","0.0","03/02/2025"
"045297","AR","9.8","0.0","03/02/2025"
"045300","AR","0.0","0.0","03/02/2025"
"045301","AR","58.6","4.0","03/02/2025"
"045302","AR","37.5","9.3","03/02/2025"
"045303","AR","34.0","Not Available","03/02/2025"
"045304","AR","37.3","0.4","03/02/2025"
"045305","AR","21.3","0.0","03/02/2025"
"045306","AR","66.7","0.9","03/02/2025"
"045308","AR","47.5","0.4","03/02/2025"
"045313","AR","48.4","0.0","03/02/2025"
"045314","AR","57.1","0.0","03/02/2025"
"045315","AR","63.9","0.0","03/02/2025"
"045317","AR","52.0","0.7","03/02/2025"
"045318","AR","55.6","0.0","03/02/2025"
"045322","AR","37.7","1.1","03/02/2025"
"045323","AR","37.0","0.0","03/02/2025"
"045326","AR","50.0","0.0","03/02/2025"
"045327","AR","0.0","0.0","03/02/2025"
"045334","AR","1.3","0.0","03/02/2025"
"045337","AR","20.3","0.0","03/02/2025"
"045338","AR","51.0","4.5","03/02/2025"
"045339","AR","35.4","2.0","03/02/2025"
"045340","AR","36.5","8.9","03/02/2025"
"045341","AR","43.1","0.0","03/02/2025"
"045342","AR","30.2","0.0","03/02/2025"
"045343","AR","Not Available","Not Available","03/02/2025"
"045345","AR","0.0","100.0","03/02/2025"
"045346","AR","67.9","0.0","03/02/2025"
"045350","AR","0.0","0.0","03/02/2025"
"045351","AR","1.6","0.5","03/02/2025"
"045352","AR","48.5","3.9","03/02/2025"
"045353","AR","1.6","0.0","03/02/2025"
"045354","AR","34.4","0.0","03/02/2025"
"045356","AR","47.0","0.0","03/02/2025"
"045357","AR","50.4","4.2","03/02/2025"
"045358","AR","22.3","0.0","03/02/2025"
"045359","AR","52.9","0.0","03/02/2025"
"045361","AR","21.3","0.0","03/02/2025"
"045363","AR","0.0","0.0","03/02/2025"
"045364","AR","63.9","0.6","03/02/2025"
"045365","AR","52.5","3.8","03/02/2025"
"045366","AR","1.5","0.0","03/02/2025"
"045367","AR","79.6","0.0","03/02/2025"
"045369","AR","1.0","0.4","03/02/2025"
"045370","AR","34.3","0.0","03/02/2025"
"045371","AR","54.8","0.0","03/02/2025"
"045372","AR","0.0","0.0","03/02/2025"
"045373","AR","37.5","0.0","03/02/2025"
"045374","AR","0.0","0.0","03/02/2025"
"045376","AR","0.0","0.0","03/02/2025"
"045377","AR","64.0","0.0","03/02/2025"
"045378","AR","32.7","2.4","03/02/2025"
"045379","AR","Not Available","Not Available","03/02/2025"
"045380","AR","0.0","1.7","03/02/2025"
"045381","AR","40.3","Not Available","03/02/2025"
"045383","AR","33.8","0.0","03/02/2025"
"045384","AR","62.5","0.0","03/02/2025"
"045385","AR","43.5","0.0","03/02/2025"
"045386","AR","30.1","0.0","03/02/2025"
"045387","AR","59.5","0.0","03/02/2025"
"045390","AR","61.6","0.0","03/02/2025"
"045391","AR","82.5","0.0","03/02/2025"
"045392","AR","5.8","0.7","03/02/2025"
"045393","AR","56.5","0.0","03/02/2025"
"045394","AR","78.3","0.6","03/02/2025"
"045396","AR","30.6","0.0","03/02/2025"
"045398","AR","59.3","1.4","03/02/2025"
"045401","AR","82.1","4.1","03/02/2025"
"045402","AR","58.7","96.5","03/02/2025"
"045403","AR","21.7","0.0","03/02/2025"
"045404","AR","31.6","0.0","03/02/2025"
"045407","AR","30.2","1.0","03/02/2025"
"045408","AR","84.5","1.3","03/02/2025"
"045409","AR","73.3","1.0","03/02/2025"
"045410","AR","50.6","4.8","03/02/2025"
"045411","AR","46.9","0.0","03/02/2025"
"045412","AR","64.3","0.0","03/02/2025"
"045413","AR","66.4","1.6","03/02/2025"
"045414","AR","22.8","1.3","03/02/2025"
"045415","AR","54.8","3.7","03/02/2025"
"045416","AR","50.5","2.0","03/02/2025"
"045417","AR","62.7","1.0","03/02/2025"
"045418","AR","40.9","0.0","03/02/2025"
"045419","AR","47.3","0.0","03/02/2025"
"045421","AR","62.3","2.2","03/02/2025"
"045422","AR","39.7","0.0","03/02/2025"
"045424","AR","44.3","0.7","03/02/2025"
"045427","AR","58.7","0.0","03/02/2025"
"045428","AR","59.8","0.5","03/02/2025"
"045430","AR","2.0","0.0","03/02/2025"
"045431","AR","2.5","0.0","03/02/2025"
"045432","AR","58.5","0.0","03/02/2025"
"045433","AR","50.0","0.0","03/02/2025"
"045434","AR","16.8","0.0","03/02/2025"
"045435","AR","3.4","0.0","03/02/2025"
"045436","AR","70.1","5.7","03/02/2025"
"045437","AR","1.9","0.0","03/02/2025"
"045438","AR","3.8","0.0","03/02/2025"
"045439","AR","34.6","0.0","03/02/2025"
"045440","AR","6.8","0.0","03/02/2025"
"045441","AR","50.5","0.0","03/02/2025"
"045442","AR","74.5","2.6","03/02/2025"
"045443","AR","72.1","1.3","03/02/2025"
"045445","AR","50.7","0.0","03/02/2025"
"045446","AR","0.0","0.0","03/02/2025"
"045447","AR","84.4","4.4","03/02/2025"
"045449","AR","0.0","0.0","03/02/2025"
"045450","AR","0.0","0.8","03/02/2025"
"045451","AR","51.2","0.0","03/02/2025"
"045452","AR","3.2","0.0","03/02/2025"
"045453","AR","55.3","0.7","03/02/2025"
"045454","AR","59.2","86.5","03/02/2025"
"045455","AR","39.4","0.6","03/02/2025"
"045456","AR","17.2","4.0","03/02/2025"
"045457","AR","49.0","0.0","03/02/2025"
"045458","AR","27.9","0.7","03/02/2025"
"045460","AR","91.6","Not Available","03/02/2025"
"045462","AR","44.2","0.0","03/02/2025"
"045463","AR","57.5","85.8","03/02/2025"
"045464","AR","53.9","4.7","03/02/2025"
"045465","AR","53.0","0.0","03/02/2025"
"045466","AR","36.8","0.0","03/02/2025"
"045467","AR","32.1","0.0","03/02/2025"
